Title,Price,Neighborhood,URL,Description
2013 Mercedes Benz G550,"$82,900",Ellensburg eastside ,https://seattle.craigslist.org/est/cto/d/kittitas-2013-mercedes-benz-g550/7442730679.html,"2013 G550 in immaculate condition. 2nd owner and always MB dealer serviced. Palladium Silver with Designo black leather interior and piano black trim. It has Distronic Plus and Parktronic, Backup..."
2017 Jag Jaguar FPACE 35t R-Sport SUV 4D suv White - FINANCE ONLINE,"$45,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2017-jag-jaguar-fpace-35t-sport/7442461899.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2021 Chevy Chevrolet Trailblazer RS Sport Utility 4D suv Gray -,"$34,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2021-chevy-chevrolet/7442462545.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2019 Land Rover Range Rover Velar R-Dynamic SE Sport Utility 4D suv,"$57,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2019-land-rover-range-rover/7442462023.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2015 Jeep Compass Sport SUV 4D suv Silver - FINANCE ONLINE,"$16,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2015-jeep-compass-sport-suv-4d/7442454844.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2018 Mercedes-Benz CLA CLA 250 Coupe 4D coupe White - FINANCE ONLINE,"$30,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-mercedes-benz-cla-cla-250/7442454865.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2021 *Cadillac Escalade* Sport 4x4,"$128,899",*Cadillac*_*Escalade*Sport_4x4 eastside ,https://seattle.craigslist.org/est/ctd/d/puyallup-2021-cadillac-escalade-sport/7442460944.html,2021 Cadillac Escalade Sport 4x4 **Clean Carfax 4x4 SUV with Navigation!** WANT TO FIND OUT MORE ABOUT THIS VEHICLE? Copy the link below and paste it into your browser:...
2020 Chrysler Voyager LXi Minivan 4D van White - FINANCE ONLINE,"$29,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2020-chrysler-voyager-lxi/7442454930.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2012 Buick LaCrosse Premium I Sedan 4D sedan White - FINANCE ONLINE,"$15,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2012-buick-lacrosse-premium/7442454869.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2016 MINI Countryman Cooper S ALL4 Hatchback 4D hatchback Silver -,"$23,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2016-mini-countryman-cooper/7442456357.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2014 Caddy Cadillac Escalade Premium Sport Utility 4D suv SILVER -,"$38,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2014-caddy-cadillac-escalade/7442454898.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2020 Toyota Tacoma Access Cab SR Pickup 4D 6 ft pickup Gray - FINANCE,"$34,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2020-toyota-tacoma-access-cab/7442462572.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2017 VW Volkswagen Jetta 1.4T S Sedan 4D sedan Blue - FINANCE ONLINE,"$16,990",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2017-vw-volkswagen-jetta-14t/7442462046.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2019 Toyota RAV4 Hybrid XSE Sport Utility 4D suv Gray - FINANCE ONLINE,"$41,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2019-toyota-rav4-hybrid-xse/7442466037.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2018 Alfa Romeo Stelvio Sport Utility 4D hatchback Gray - FINANCE,"$33,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-alfa-romeo-stelvio-sport/7442462645.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
$411/mo - 2013 Subaru BRZ Premium Coupe 2D 2 D 2-D,"$19,995",JandA AUTO SALES eastside ,https://seattle.craigslist.org/est/ctd/d/bellevue-411-mo-subaru-brz-premium/7442166159.html,"$411/mo - 2013 Subaru BRZ Premium Coupe 2D 2 D 2-D 63,457 mi. - Manual - 2D Coupe - 4 Cyl - RWD: Rear Wheel Drive - VIN# JF1ZCAB12D1605539 - STK# 605539 J&amp;A AUTO SALES Call or Text..."
2018 Toyota Highlander SE AWD All Wheel Drive SKU:JS804355,"$38,490",AutoNation eastside ,https://seattle.craigslist.org/est/ctd/d/bellevue-2018-toyota-highlander-se-awd/7442168495.html,"SOLD!!! This Toyota Highlander has just been Sold. As America's Largest Automotive Retailer we have thousands of other vehicles, including many others that may be identical to this one. Use the link..."
2003 Honda Element EX AWD 4dr SUV - Down Pymts Starting at $499,"$6,999",+ Car Link Auto Sales eastside ,https://seattle.craigslist.org/est/ctd/d/marysville-2003-honda-element-ex-awd/7442171581.html,"2003 Honda Element EX AWD 4dr SUV Offered by: Car Link Auto Sales — — $6,999 AWD 4 cyl. auto runs and drives great looks great economical to drive! Don&#39;t forget to ask about our 1st time buyer..."
2018 BMW X2 xDrive28i Sport Utility 4D suv White - FINANCE ONLINE,"$33,590",TOUCHLESS DELIVERY TO YOUR HOME eastside ,https://seattle.craigslist.org/est/ctd/d/atlanta-2018-bmw-x2-xdrive28i-sport/7442466071.html,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience..."
2004 GMC W4S042 W4500 DSL REG Truck W4 16' GMC W-4 W 4,"$6,385",Tacoma - Eastside eastside ,https://seattle.craigslist.org/est/ctd/d/auburn-2004-gmc-w4s042-w4500-dsl-reg/7442181290.html,➥ You can immediately confirm availability of this vehicle by calling or texting 📱 ----------------- Boardwalk Motors 🌞 🌞 🌞 📱 ----------------- WE HAVE HELPED PEOPLE WITH THE FOLLOWING: ✔️ Great...
2011 Volkswagen GTI Autobahn,"$9,950",Bellevue eastside ,https://seattle.craigslist.org/est/cto/d/bellevue-2011-volkswagen-gti-autobahn/7442185815.html,"Very clean well cared for excellent condition, kept in garage when not in use. Runs great. adult owned. 2nd owner. Drives perfect. email or call for information. located in Bellevue...."
1999 Lexus GS 300 Base 4dr Sedan - Down Pymts Starting at $499,"$3,999",+ Car Link Auto Sales eastside ,https://seattle.craigslist.org/est/ctd/d/marysville-1999-lexus-gs-300-base-4dr/7442211098.html,"1999 Lexus GS 300 Base 4dr Sedan Offered by: Car Link Auto Sales — — $3,999 Affordable high line Luxury! Runs drives and looks great! Don&#39;t forget to ask about our 1st time buyer program A..."
"2011 Acura MDX Tech 4WD --Navi, Third row, Clean title, Affordable--","$17,995",kirkland eastside ,https://seattle.craigslist.org/est/ctd/d/kirkland-2011-acura-mdx-tech-4wd-navi/7442231528.html,"2011 Acura MDX Tech 4WD with only 107k miles on it. Clean title/Clean carfax report. Affordable Luxury!! 7 Passenger!! Options include heated leather seats, sunroof, navigation, backup camera,..."
JDMOFFROAD 1995 4WD Toyota Landcruiser prado,"$43,000",Seattle eastside ,https://seattle.craigslist.org/est/ctd/d/seattle-jdmoffroad-wd-toyota/7442232135.html,"Our dealership, Jdmoffroad, is located in Everett Washington(state) were just a few clicks North of Seattle. We focus our efforts on diesel 4x4 vehicles. Check out our website jdmoffroad.com to see..."
$432/mo - 2018 Toyota Camry LE Sedan 4D 4 D 4-D,"$20,999",JandA AUTO SALES eastside ,https://seattle.craigslist.org/est/ctd/d/bellevue-432-mo-toyota-camry-le-sedan/7442241292.html,"$432/mo - 2018 Toyota Camry LE Sedan 4D 4 D 4-D 85,000 mi. - - 4D Sedan - 4 Cyl - FWD: Front Wheel Drive - VIN# 4T1B11HK1JU071988 - STK# 071988 J&amp;A AUTO SALES Call or Text www.ja-autosales.com..."
Audi A4 2007,"$5,995",Bothell eastside ,https://seattle.craigslist.org/est/cto/d/bothell-audi-a4-2007/7442243071.html,"Audi A4 2007 Quatro (all wheel drive) 4 door sedan Black with Black leather interior. 2.0T engine (turbo), 155xxx miles on odometer, automatic (6 speed) transmission. Newer high-performance tires..."
2004 GMC Yukon XL Denali AWD 4dr SUV - Down Pymts Starting at $499,"$5,999",+ Car Link Auto Sales eastside ,https://seattle.craigslist.org/est/ctd/d/marysville-2004-gmc-yukon-xl-denali-awd/7442246062.html,"2004 GMC Yukon XL Denali AWD 4dr SUV Offered by: Car Link Auto Sales — — $5,999 AWD Denali XL 6.0 V8 with 3rd row seating and all the nice features! Don&#39;t forget to ask about our 1st time buyer..."
2003 BMW 745 li,"$1,800",Woodinville eastside ,https://seattle.craigslist.org/est/cto/d/woodinville-2003-bmw-745-li/7442258964.html,2003 BMW 745li 145 k has mechanical issue transmission on the neutral position need to replace some solenoids if you buy it you need a tow truck to towed car doesn’t drive any question text or call...
2000 Toyota Tacoma V6 Manual Extended Cab SR5 TRD,"$14,000",Bellevue eastside ,https://seattle.craigslist.org/est/cto/d/bellevue-2000-toyota-tacoma-v6-manual/7442264440.html,"Hello all, Selling/Trading my taco as I’m looking for something a little more spacious but if you’re serious shoot me an offer. This truck has been meticulously taken care of and all receipts have..."
2014 Scion TC Pano Sunroof/ Panasonic Sound system Carfax Certified 1,"$13,991",Stouffair Motors eastside ,https://seattle.craigslist.org/est/ctd/d/cornelius-2014-scion-tc-pano-sunroof/7442266614.html,"2014 *Scion* *tC* Base Trim Coupe - $13,991 Call Us Today! Text Us Today! Scion_ tC_ For Sale by Stouffair Motors Stouffair Motors is the largest independent vehicle dealership on the west coast..."
Land Rover Sport 2013,"$5,000",Snoqualmie eastside ,https://seattle.craigslist.org/est/cto/d/snoqualmie-land-rover-sport-2013/7442267922.html,2013 Range Rover Sport Good aspects of the truck. 155k miles. One owner. Santorini black. Black interior. Cold weather package. 2.5 inch lift rods. Brand AMK air suspension compressor. New lower...
